u,ux,uy,uz,u2x,u2y,u2z,p,px,v,vx,vy,vz,v2x,v2y,v2z,py,vvx,vvy,vvz
,,,,,,,83559.8515625,,1.7311782836914062,-2.407968044281006e-05,0.00046657294034957886,0.00022409379482269288,-2.4634599685668945e-08,-2.3011267185211182e-07,-2.0390212535858154e-06,0.1193359375,-4.168621986082144e-05,0.0008077209420912368,0.00038794631110704357
,,,,,,,83594.3984375,,1.8198906183242798,-3.2719969749450685e-06,0.00043629050254821776,0.0001974150538444519,-1.740753650665283e-08,-7.271170616149902e-08,-1.825907826423645e-06,-0.0378515625,-5.954676597887954e-06,0.0007940009924514868,0.00035927380440750053
,,,,,,,83544.7109375,,1.9056944847106934,4.33117151260376e-06,0.0004210707545280457,0.00018163561820983888,-1.7723441123962403e-08,-7.948577404022217e-08,-2.2578537464141844e-06,0.03529296875,8.253889663905057e-06,0.0008024322145770669,0.00034614199584950714
,,,,,,,83608.515625,,1.988318920135498,1.3330578804016114e-05,0.00039886057376861575,0.00012028545141220093,-2.0831823348999022e-08,-1.4261603355407715e-07,-1.992449164390564e-06,0.25658203125,2.650544205238248e-05,0.0007930620253202393,0.00023916583885991827
,,,,,,,83647.34375,,2.0652387142181396,1.4511942863464355e-05,0.0003583192825317383,5.1490068435668946e-05,-2.2155046463012694e-08,-2.6279687881469725e-07,-2.107131481170654e-06,0.07703125,2.9970626220148232e-05,0.0007400148543354135,0.00010633928273108495
,,,,,,,83639.328125,,2.1316466331481934,1.853048801422119e-05,0.00032265067100524904,-1.1773109436035157e-05,-1.742243766784668e-08,-9.388923645019531e-08,-2.0670056343078615e-06,-0.03814453125,3.950045238610755e-05,0.0006877772165313445,-2.5096109091009567e-05
,,,,,,,83632.0859375,,2.1942989826202393,1.819491386413574e-05,0.00031253159046173095,-6.963729858398437e-05,-2.6714801788330077e-08,-7.3015689849853514e-09,-2.101755142211914e-06,0.0379296875,3.992508098093594e-05,0.0006857877509868614,-0.00015280505343525874
,,,,,,,83654.5,,2.2566592693328857,1.64639949798584e-05,0.000303119421005249,-0.00013039886951446533,-3.540515899658203e-08,-8.682012557983398e-08,-2.3256361484527587e-06,0.15154296875,3.7153626881547555e-05,0.0006840372511263126,-0.00029426581760034766
,,,,,,,83692.703125,,2.315546751022339,2.210080623626709e-05,0.00028351426124572753,-0.0001978445053100586,-2.6351213455200195e-08,-1.0923147201538086e-07,-2.4714350700378417e-06,0.16564453125,5.117545007536251e-05,0.000656490526496043,-0.0004581182014783281
,,,,,,,83720.7578125,,2.3700649738311768,9.322166442871094e-06,0.00025149345397949217,-0.00025804340839385986,-4.991292953491211e-08,-2.1097660064697266e-07,-2.537745237350464e-06,0.08548828125,2.2094140166473154e-05,0.0005960558264246174,-0.0006115796439623011
,,,,,,,83726.8984375,,2.4161441326141357,4.427433013916016e-06,0.00023900151252746583,-0.00030127286911010745,-4.7063827514648436e-08,8.605718612670898e-08,-2.3470401763916017e-06,0.0323828125,1.06973162991153e-05,0.0005774621021791404,-0.0007279186750162126
,,,,,,,83733.7109375,,2.465665578842163,-3.8093328475952146e-06,0.00026565134525299074,-0.00035160839557647706,-4.7069787979125974e-08,1.8044114112854003e-07,-2.509552240371704e-06,0.01544921875,-9.39254088066832e-06,0.0006550073779634148,-0.0008669487182048386
,,,,,,,83733.078125,,2.522404670715332,-4.525184631347656e-06,0.00028472542762756345,-0.00038634836673736574,-5.464553833007812e-08,1.02996826171875e-08,-2.854377031326294e-06,-0.00443359375,-1.1414346849960567e-05,0.0007181927485191863,-0.0009745269247815714
,,,,,,,83731.9375,,2.5795557498931885,5.768537521362305e-06,0.000264737606048584,-0.00042753040790557864,-4.8947334289550784e-08,-2.101778984069824e-07,-3.1765162944793703e-06,0.0032421875,1.4880264131704735e-05,0.0006829054138955827,-0.0011028385219670157
,,,,,,,83734.375,,2.6282997131347656,2.1942853927612304e-05,0.0002116835117340088,-0.00046448290348052976,-2.7191638946533203e-08,-3.203630447387695e-07,-3.360670804977417e-06,0.0133203125,5.767239668330148e-05,0.0005563677131658551,-0.0012208002819738793
,,,,,,,83737.265625,,2.664229154586792,3.24559211730957e-05,0.00015616774559020996,-0.0004877394437789917,-1.3875961303710938e-08,-2.3479461669921875e-07,-3.3415257930755617e-06,0.00380859375,8.647001142833232e-05,0.0004160666608075303,-0.0012994496459579352
,,,,,,,83735.8984375,,2.6907668113708496,3.2554268836975095e-05,0.00013356685638427735,-0.0005053305625915528,-1.6719102859497072e-08,8.785724639892578e-09,-3.1776905059814455e-06,-0.0093359375,8.75959461549769e-05,0.00035939726425795017,-0.00135972670659271
,,,,,,,83743.7109375,,0.7894338369369507,-0.00011076465249061584,0.00019924521446228029,0.0007744885981082917,3.9002448320388793e-07,3.3614635467529295e-07,-8.566811680793763e-07,-0.0002734375,-8.744136461265484e-05,0.00015729091414428355,0.0006114075056685487
,,,,,,,83743.4296875,,0.8360058069229126,-0.00012510702013969423,0.0002828440070152283,0.000697237104177475,3.602638840675354e-07,4.99841570854187e-07,-7.481440901756286e-07,-0.000234375,-0.00010459019532360615,0.00023645923231807586,0.0005828942678944848
,,,,,,,83743.6171875,,0.902571439743042,-0.00010060608386993409,0.00032476529479026796,0.0006273570656776428,2.732604742050171e-07,-8.062869310379028e-08,-1.2846022844314576e-06,0.00302734375,-9.080417796539564e-05,0.0002931238796974256,0.0005662345700016403
,,,,,,,83744.640625,,0.9659119248390198,-8.325949311256408e-05,0.0003091141581535339,0.0005870553851127625,2.0919591188430786e-07,-7.58826732635498e-08,-1.5616297721862793e-06,0.00671875,-8.042133725347788e-05,0.0002985770514970731,0.0005670437970213805
,,,,,,,83746.3046875,,1.0262171030044556,-8.084535598754882e-05,0.0002834869921207428,0.000582461655139923,1.2437701225280762e-07,-1.8038898706436158e-07,-1.570788025856018e-06,-0.23384765625,-8.296488701290627e-05,0.0002909191997935956,0.0005977321123488721
,,,,,,,83651.1015625,,1.079306721687317,-7.058680057525635e-05,0.00026059836149215697,0.0005497772991657257,1.302182674407959e-07,-4.849731922149658e-08,-1.7427995800971985e-06,-0.54099609375,-7.618480832327634e-05,0.00028126556321918624,0.0005933783344206667
