v,vx,vy,vz,v2x,v2y,v2z,p,py,w,wx,wy,wz,w2x,w2y,w2z,pz,wwx,wwy,wwz
,,,,,,,83594.3984375,,0.8130890727043152,0.00012069359421730041,-8.551627397537231e-05,0.0003041481971740723,-5.30049204826355e-08,-5.837410688400268e-07,-2.5314390659332274e-07,7.99943359375,9.813464260349569e-05,-6.953234790776363e-05,0.00024729957560495566
,,,,,,,83544.7109375,,0.7843109965324402,0.00011311545968055725,-0.00013568341732025146,0.00029268428683280944,-6.300657987594604e-08,8.206963539123535e-08,1.357242465019226e-07,7.9216796875,8.871769890528292e-05,-0.00010641799625137337,0.00022955550467522733
,,,,,,,83608.515625,,0.7588157057762146,0.0001042822003364563,-0.00013758257031440735,0.00029419437050819396,-6.324052810668945e-08,-1.0106116533279419e-07,-3.642216324806213e-07,8.0125,7.91309714482047e-05,-0.00010439981519563269,0.00022323930889256438
,,,,,,,83647.34375,,0.7292779684066772,8.818984031677246e-05,-0.00012691333889961243,0.00023349568247795104,-6.369352340698242e-08,2.077534794807434e-07,-1.4401525259017944e-07,8.0729296875,6.43149075803251e-05,-9.255510195641748e-05,0.00017028325694925072
,,,,,,,83639.328125,,0.7080503702163696,8.025974035263062e-05,-0.00010827064514160156,0.00019381374120712281,-6.26295804977417e-08,-2.1326541900634766e-08,-2.7322471141815184e-07,8.0631640625,5.6827938870149814e-05,-7.666107037607617e-05,0.00013722989121472297
,,,,,,,83632.0859375,,0.6859697103500366,7.966309785842896e-05,-0.00011940270662307739,0.00017129942774772643,-5.6234002113342286e-08,-8.999407291412353e-08,-2.2298842668533324e-07,8.0529296875,5.464647216353314e-05,-8.19066400772428e-05,0.00011750621883523492
,,,,,,,83654.5,,0.6602892875671387,7.361844182014465e-05,-0.00012147456407546998,0.0001538635790348053,-5.298703908920288e-08,6.927549839019775e-08,-6.570667028427125e-08,8.08412109375,4.860946850122616e-05,-8.020835337092081e-05,0.00010159447298342173
,,,,,,,83692.703125,,0.6373798847198486,5.343228578567505e-05,-0.0001320791244506836,0.00014192909002304078,-6.316006183624267e-08,-1.7532110214233397e-07,-4.011571407318115e-07,8.13974609375,3.405666415439157e-05,-8.418457711627525e-05,9.046274703727876e-05
,,,,,,,83720.7578125,,0.6074576377868652,3.823757171630859e-05,-0.00010407626628875732,9.429007768630981e-05,-7.256865501403809e-08,4.553496837615967e-07,1.1394321918487549e-07,8.1806640625,2.322770498949467e-05,-6.322192286944528e-05,5.727722785806577e-05
,,,,,,,83726.8984375,,0.5957493782043457,2.7047395706176756e-05,-7.117092609405517e-05,7.962331175804139e-05,-8.408129215240478e-08,-1.262962818145752e-07,-4.351094365119934e-07,8.1894140625,1.611346917400169e-05,-4.240003496676081e-05,4.7435538470423926e-05
,,,,,,,83733.7109375,,0.5789892673492432,3.7870705127716065e-05,-8.349239826202392e-05,7.173746824264527e-05,-6.538927555084229e-08,3.0815601348876955e-09,3.705918788909912e-08,8.19982421875,2.192673181589555e-05,-4.8341202498960454e-05,4.153522417929878e-05
,,,,,,,83733.078125,,0.5623524188995361,4.5343637466430665e-05,-0.00011497244238853455,7.553592324256897e-05,-6.920099258422852e-08,-3.178820013999939e-07,-2.527907490730286e-07,8.200234375,2.549910421095092e-05,-6.465503108397996e-05,4.2477809149268354e-05
,,,,,,,83731.9375,,0.5330002903938293,4.9237459897994995e-05,-0.00013701409101486207,6.010189652442932e-05,-4.515796899795532e-08,9.746551513671875e-08,-1.715138554573059e-07,8.2001171875,2.624358042388586e-05,-7.302855029896805e-05,3.203432830074071e-05
,,,,,,,83734.375,,0.5075467824935913,4.5723095536232e-05,-8.761115372180938e-05,1.3156235218048095e-05,-4.2463093996047974e-08,3.96563857793808e-07,-3.947317600250244e-08,8.20501953125,2.3206610025061638e-05,-4.446675918205578e-05,6.677404854649183e-06
,,,,,,,83737.265625,,0.4979558289051056,3.492265939712524e-05,-2.8406381607055663e-05,-4.212364554405212e-05,-6.185322999954224e-08,1.9548386335372926e-07,-9.321272373199463e-08,8.21080078125,1.7389941807666176e-05,-1.4145123299336149e-05,-2.0975714833393333e-05
,,,,,,,83735.8984375,,0.49618422985076904,3.7186741828918456e-05,-2.4450048804283143e-05,-6.548717617988587e-05,-8.029639720916748e-08,-1.5592053532600402e-07,-2.6218593120574952e-08,8.2109765625,1.845147485504128e-05,-1.2131728635766948e-05,-3.24937040779183e-05
,,,,,,,83743.7109375,,0.3487195372581482,0.00015484429895877837,0.00014695703983306886,0.00010463871061801911,-1.4433935284614564e-07,2.2655874490737916e-07,-3.5719349980354307e-07,8.2021875,5.399723227996755e-05,5.1246790927415023e-05,3.64895627460049e-05
,,,,,,,83743.4296875,,0.38264212012290955,0.00012423351407051087,0.00020492784678936005,0.00016505233943462372,-1.6335248947143556e-07,3.531493246555328e-07,-3.6635473370552065e-07,8.20138671875,4.7536975214259594e-05,7.841402576770351e-05,6.315597709251053e-05
,,,,,,,83743.6171875,,0.4306906759738922,0.00012997537851333618,0.0002606259286403656,0.00019359208643436433,-1.4315545558929442e-07,2.038314938545227e-07,3.35104763507843e-08,8.2009375,5.5979183631871265e-05,0.00011224915738244246,8.337830656961254e-05
,,,,,,,83744.640625,,0.4868924915790558,0.00011817619204521179,0.0003026483207941055,0.00020904943346977233,-1.7508864402770996e-07,2.163924276828766e-07,1.3462603092193602e-07,8.20185546875,5.753910059021816e-05,0.00014735719498365938,0.00010178459952528751
,,,,,,,83746.3046875,,0.5517500042915344,0.00012320205569267274,0.0003008910268545151,0.00020669415593147278,-2.594634890556335e-07,-2.3396536707878113e-07,-7.934421300888062e-08,8.20396484375,6.797673475715804e-05,0.0001660166253582629,0.0001140435014222252
,,,,,,,83651.1015625,,0.6072489023208618,0.00012852653861045838,0.0002686665952205658,0.0002060435712337494,-2.491489052772522e-07,-8.827894926071167e-08,-1.5441328287124635e-07,8.0614453125,7.804759949030071e-05,0.00016314749503797187,0.00012511973246196462
,,,,,,,83529.90625,,0.6592166423797607,0.00012075752019882202,0.0002568897604942322,0.000211385041475296,-2.5853216648101804e-07,-2.9489398002624513e-08,-1.745179295539856e-07,7.8942578125,7.960536700757359e-05,0.00016934600537474865,0.0001393485372906511
,,,,,,,83509.40625,,0.7100048065185547,0.00012178957462310791,0.00024065285921096803,0.00025344431400299073,-2.6080608367919924e-07,-1.328796148300171e-07,-6.61611557006836e-08,7.863671875,8.647118336625681e-05,0.00017086468674222034,0.00017994668112692125
,,,,,,,83572.1171875,,0.755477786064148,0.0001185092329978943,0.00020024508237838744,0.00031954512000083925,-2.461791038513184e-07,-2.7119815349578857e-07,-2.301350235939026e-07,7.9508984375,8.953109297340944e-05,0.00015128071150545707,0.00024140923980583653
,,,,,,,83677.3046875,,0.7901028394699097,0.00012434795498847962,8.440881967544556e-05,0.00038534730672836305,-2.6044100522995e-07,-8.871644735336304e-07,-5.09384274482727e-07,8.109140625,9.824767231867427e-05,6.669164810187311e-05,0.0003044640012281619
,,,,,,,83560.25,,0.7892413139343262,0.00011032581329345703,4.3190270662307737e-05,0.0003146937489509583,-2.1800100803375243e-07,4.749789834022522e-07,1.236051321029663e-07,7.935078125,8.707368984460117e-05,3.4087545966698935e-05,0.0002483693079089733
